"","a"
"1","Year"
"2","Quarter"
"3","Month"
"4","DayofMonth"
"5","DayOfWeek"
"6","FlightDate"
"7","Marketing_Airline_Network"
"8","Operated_or_Branded_Code_Share_Partners"
"9","DOT_ID_Marketing_Airline"
"10","IATA_Code_Marketing_Airline"
"11","Flight_Number_Marketing_Airline"
"12","Originally_Scheduled_Code_Share_Airline"
"13","DOT_ID_Originally_Scheduled_Code_Share_Airline"
"14","IATA_Code_Originally_Scheduled_Code_Share_Airline"
"15","Flight_Num_Originally_Scheduled_Code_Share_Airline"
"16","Operating_Airline."
"17","DOT_ID_Operating_Airline"
"18","IATA_Code_Operating_Airline"
"19","Tail_Number"
"20","Flight_Number_Operating_Airline"
"21","OriginAirportID"
"22","OriginAirportSeqID"
"23","OriginCityMarketID"
"24","Origin"
"25","OriginCityName"
"26","OriginState"
"27","OriginStateFips"
"28","OriginStateName"
"29","OriginWac"
"30","DestAirportID"
"31","DestAirportSeqID"
"32","DestCityMarketID"
"33","Dest"
"34","DestCityName"
"35","DestState"
"36","DestStateFips"
"37","DestStateName"
"38","DestWac"
"39","CRSDepTime"
"40","DepTime"
"41","DepDelay"
"42","DepDelayMinutes"
"43","DepDel15"
"44","DepartureDelayGroups"
"45","DepTimeBlk"
"46","TaxiOut"
"47","WheelsOff"
"48","WheelsOn"
"49","TaxiIn"
"50","CRSArrTime"
"51","ArrTime"
"52","ArrDelay"
"53","ArrDelayMinutes"
"54","ArrDel15"
"55","ArrivalDelayGroups"
"56","ArrTimeBlk"
"57","Cancelled"
"58","CancellationCode"
"59","Diverted"
"60","CRSElapsedTime"
"61","ActualElapsedTime"
"62","AirTime"
"63","Flights"
"64","Distance"
"65","DistanceGroup"
"66","CarrierDelay"
"67","WeatherDelay"
"68","NASDelay"
"69","SecurityDelay"
"70","LateAircraftDelay"
"71","FirstDepTime"
"72","TotalAddGTime"
"73","LongestAddGTime"
"74","DivAirportLandings"
"75","DivReachedDest"
"76","DivActualElapsedTime"
"77","DivArrDelay"
"78","DivDistance"
"79","Div1Airport"
"80","Div1AirportID"
"81","Div1AirportSeqID"
"82","Div1WheelsOn"
"83","Div1TotalGTime"
"84","Div1LongestGTime"
"85","Div1WheelsOff"
"86","Div1TailNum"
"87","Div2Airport"
"88","Div2AirportID"
"89","Div2AirportSeqID"
"90","Div2WheelsOn"
"91","Div2TotalGTime"
"92","Div2LongestGTime"
"93","Div2WheelsOff"
"94","Div2TailNum"
"95","Div3Airport"
"96","Div3AirportID"
"97","Div3AirportSeqID"
"98","Div3WheelsOn"
"99","Div3TotalGTime"
"100","Div3LongestGTime"
"101","Div3WheelsOff"
"102","Div3TailNum"
"103","Div4Airport"
"104","Div4AirportID"
"105","Div4AirportSeqID"
"106","Div4WheelsOn"
"107","Div4TotalGTime"
"108","Div4LongestGTime"
"109","Div4WheelsOff"
"110","Div4TailNum"
"111","Div5Airport"
"112","Div5AirportID"
"113","Div5AirportSeqID"
"114","Div5WheelsOn"
"115","Div5TotalGTime"
"116","Div5LongestGTime"
"117","Div5WheelsOff"
"118","Div5TailNum"
"119","Duplicate"
"120","X"
